path|original_file|language|is_original_language|duration|training_data|model_name|architecture|transcript
./fake/en/e2-tts/the_sea_fairies_03_f000045.wav|en_US/by_book/female/judy_bieber/the_sea_fairies/wavs/the_sea_fairies_03_f000045.wav|en|True|11.627|unknown|e2-tts|e2-tts|The little girl had scarcely time to observe all this when the princess said, Now, my dear, if you are ready, we will begin our journey, for it is a long way to our palaces.
./fake/en/e2-tts/emerald_city_of_oz_10_f000046.wav|en_US/by_book/female/judy_bieber/emerald_city_of_oz/wavs/emerald_city_of_oz_10_f000046.wav|en|True|5.525|unknown|e2-tts|e2-tts|and he bowed so low to the strangers that Dorothy laughed, and the breeze from her mouth nearly blew the Captain over.
./fake/en/e2-tts/northandsouth_14_f000034.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_14_f000034.wav|en|True|6.208|unknown|e2-tts|e2-tts|Or else he did right, Margaret. They may say what they like, but I have his own letters to show, and Ill believe him,
./fake/en/e2-tts/wives_and_daughters_26_f000337.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_26_f000337.wav|en|True|11.136|unknown|e2-tts|e2-tts|and he expressed his regret so simply and heartily that she felt at her ease with him at once, especially when he confided to her his reluctance at having to dance at all,
./fake/en/e2-tts/northandsouth_22_f000067.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_22_f000067.wav|en|True|1.013|unknown|e2-tts|e2-tts|Gone! replied he. Listen!
./fake/en/e2-tts/skyisland_01_baum_64kb_f000028.wav|en_US/by_book/female/judy_bieber/sky_island/wavs/skyisland_01_baum_64kb_f000028.wav|en|True|4.917|unknown|e2-tts|e2-tts|little boy, not to know 'bout captain Griffith, she added, looking at her new acquaintance intently.
./fake/en/e2-tts/northandsouth_43_f000052.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_43_f000052.wav|en|True|5.120|unknown|e2-tts|e2-tts|The evenings were chilly, and by  Missis Shaws directions fires were lighted in every bedroom.
./fake/en/e2-tts/jane_eyre_34_f000110.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_34_f000110.wav|en|True|4.587|unknown|e2-tts|e2-tts|They laughed - kissed me - then Hannah: patted Carlo, who was half wild with delight;
./fake/en/e2-tts/wives_and_daughters_08_f000268.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_08_f000268.wav|en|True|5.291|unknown|e2-tts|e2-tts|I never think whether a land-agent is handsome or not. They don't belong to the class of people whose appearance I notice.
./fake/en/e2-tts/poisoned_pen_01_f000231.wav|en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_01_f000231.wav|en|True|9.643|unknown|e2-tts|e2-tts|Next comes the tragedy. On the evening of the day that Thurstontwenty eft, after presumably telling Miss Lytton about what Kerr  Kimmel had discovered,
./fake/en/e2-tts/poisoned_pen_07_f000142.wav|en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_07_f000142.wav|en|True|5.995|unknown|e2-tts|e2-tts|The report came in from the police just a few minutes ago. It is thought that she was murdered in the city and carried there in an automobile.
./fake/en/e2-tts/rinkitink_baum_08_64kb_f000049.wav|en_US/by_book/female/judy_bieber/rinkitink_in_oz/wavs/rinkitink_baum_08_64kb_f000049.wav|en|True|5.824|unknown|e2-tts|e2-tts|and so weary was he that nothing disturbed his slumber until he awakened next morning with a ray of sunshine in his eyes,
./fake/en/e2-tts/the_sea_fairies_06_f000051.wav|en_US/by_book/female/judy_bieber/the_sea_fairies/wavs/the_sea_fairies_06_f000051.wav|en|True|5.888|unknown|e2-tts|e2-tts|And now, said Aquareine, I will send you out for a swim with Merla, who will show you some of the curious sights of our sea.
./fake/en/e2-tts/poisoned_pen_04_f000220.wav|en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_04_f000220.wav|en|True|11.307|unknown|e2-tts|e2-tts|It was nearly dawn when the door opened and McCormick came in and dropped wearily into a chair. Do you know who that woman was? he gasped. It was Miss Wend herself.
