dorothy_and_wizard_oz_01_f000001|To My Readers.|To My Readers.
dorothy_and_wizard_oz_01_f000002|It's no use; no use at all. The children won't let me stop telling tales of the Land of Oz. I know lots of other stories, and I hope to tell them, some time or another;|It's no use; no use at all. The children won't let me stop telling tales of the Land of Oz. I know lots of other stories, and I hope to tell them, some time or another;
dorothy_and_wizard_oz_01_f000003|but just now my loving tyrants won't allow me.|but just now my loving tyrants won't allow me.
dorothy_and_wizard_oz_01_f000004|They cry: Oz Oz! more about Oz, Mr. Baum! and what can I do but obey their commands?|They cry: Oz Oz! more about Oz, Mr. Baum! and what can I do but obey their commands?
dorothy_and_wizard_oz_01_f000005|This is Our Book mine and the children's. For they have flooded me with thousands of suggestions in regard to it, and I have honestly tried to adopt as many of these suggestions as could be fitted into one story.|This is Our Book mine and the children's. For they have flooded me with thousands of suggestions in regard to it, and I have honestly tried to adopt as many of these suggestions as could be fitted into one story.
dorothy_and_wizard_oz_01_f000006|After the wonderful success of Ozma of Oz it is evident that Dorothy has become a firm fixture in these Oz stories. The little ones all love Dorothy,|After the wonderful success of Ozma of Oz it is evident that Dorothy has become a firm fixture in these Oz stories. The little ones all love Dorothy,
dorothy_and_wizard_oz_01_f000007|and as one of my small friends aptly states:|and as one of my small friends aptly states:
dorothy_and_wizard_oz_01_f000008|It isn't a real Oz story without her.|It isn't a real Oz story without her.
dorothy_and_wizard_oz_01_f000009|So here she is again, as sweet and gentle and innocent as ever, I hope, and the heroine of another strange adventure.|So here she is again, as sweet and gentle and innocent as ever, I hope, and the heroine of another strange adventure.
dorothy_and_wizard_oz_01_f000010|There were many requests from my little correspondents for more about the Wizard. It seems the jolly old fellow made hosts of friends in the first Oz book,|There were many requests from my little correspondents for more about the Wizard. It seems the jolly old fellow made hosts of friends in the first Oz book,
dorothy_and_wizard_oz_01_f000011|in spite of the fact that he frankly acknowledged himself a humbug.|in spite of the fact that he frankly acknowledged himself a humbug.
dorothy_and_wizard_oz_01_f000012|The children had heard how he mounted into the sky in a balloon and they were all waiting for him to come down again. So what could I do but tell what happened to the Wizard afterward?|The children had heard how he mounted into the sky in a balloon and they were all waiting for him to come down again. So what could I do but tell what happened to the Wizard afterward?
dorothy_and_wizard_oz_01_f000013|You will find him in these pages, just the same humbug Wizard as before.|You will find him in these pages, just the same humbug Wizard as before.
dorothy_and_wizard_oz_01_f000014|There was one thing the children demanded which I found it impossible to do in this present book: they bade me introduce Toto, Dorothy's little black dog,|There was one thing the children demanded which I found it impossible to do in this present book: they bade me introduce Toto, Dorothy's little black dog,
dorothy_and_wizard_oz_01_f000015|who has many friends among my readers.|who has many friends among my readers.
dorothy_and_wizard_oz_01_f000016|But you will see, when you begin to read the story, that Toto was in Kansas while Dorothy was in California, and so she had to start on her adventure without him.|But you will see, when you begin to read the story, that Toto was in Kansas while Dorothy was in California, and so she had to start on her adventure without him.
dorothy_and_wizard_oz_01_f000017|In this book Dorothy had to take her kitten with her instead of her dog; but in the next Oz book, if I am permitted to write one, I intend to tell a good deal about Toto's further history.|In this book Dorothy had to take her kitten with her instead of her dog; but in the next Oz book, if I am permitted to write one, I intend to tell a good deal about Toto's further history.
dorothy_and_wizard_oz_01_f000018|Princess Ozma, whom I love as much as my readers do, is again introduced in this story, and so are several of our old friends of Oz.|Princess Ozma, whom I love as much as my readers do, is again introduced in this story, and so are several of our old friends of Oz.
dorothy_and_wizard_oz_01_f000019|You will also become acquainted with Jim the Cab-Horse, the Nine Tiny Piglets, and Eureka, the Kitten. I am sorry the kitten was not as well behaved as she ought to have been;|You will also become acquainted with Jim the Cab-Horse, the Nine Tiny Piglets, and Eureka, the Kitten. I am sorry the kitten was not as well behaved as she ought to have been;
dorothy_and_wizard_oz_01_f000020|but perhaps she wasn't brought up properly.|but perhaps she wasn't brought up properly.
dorothy_and_wizard_oz_01_f000021|Dorothy found her, you see, and who her parents were nobody knows.|Dorothy found her, you see, and who her parents were nobody knows.
dorothy_and_wizard_oz_01_f000022|I believe, my dears, that I am the proudest story-teller that ever lived. Many a time tears of pride and joy have stood in my eyes while I read the tender,|I believe, my dears, that I am the proudest story-teller that ever lived. Many a time tears of pride and joy have stood in my eyes while I read the tender,
dorothy_and_wizard_oz_01_f000023|loving, appealing letters that came to me in almost every mail from my little readers.|loving, appealing letters that came to me in almost every mail from my little readers.
dorothy_and_wizard_oz_01_f000024|To have pleased you, to have interested you, to have won your friendship, and perhaps your love, through my stories, is to my mind as great an achievement as to become President of the United States.|To have pleased you, to have interested you, to have won your friendship, and perhaps your love, through my stories, is to my mind as great an achievement as to become President of the United States.
dorothy_and_wizard_oz_01_f000025|Indeed, I would much rather be your story-teller, under these conditions, than to be the President. So you have helped me to fulfill my life's ambition,|Indeed, I would much rather be your story-teller, under these conditions, than to be the President. So you have helped me to fulfill my life's ambition,
dorothy_and_wizard_oz_01_f000026|and I am more grateful to you, my dears, than I can express in words.|and I am more grateful to you, my dears, than I can express in words.
dorothy_and_wizard_oz_01_f000027|I try to answer every letter of my young correspondents; yet sometimes there are so many letters that a little time must pass before you get your answer.|I try to answer every letter of my young correspondents; yet sometimes there are so many letters that a little time must pass before you get your answer.
dorothy_and_wizard_oz_01_f000028|But be patient, friends, for the answer will surely come, and by writing to me you more than repay me for the pleasant task of preparing these books.|But be patient, friends, for the answer will surely come, and by writing to me you more than repay me for the pleasant task of preparing these books.
dorothy_and_wizard_oz_01_f000029|Besides, I am proud to acknowledge that the books are partly yours, for your suggestions often guide me in telling the stories,|Besides, I am proud to acknowledge that the books are partly yours, for your suggestions often guide me in telling the stories,
dorothy_and_wizard_oz_01_f000030|and I am sure they would not be half so good without your clever and thoughtful assistance.|and I am sure they would not be half so good without your clever and thoughtful assistance.
dorothy_and_wizard_oz_01_f000031|L FRANK BAUM, Coronado, 1908.|L FRANK BAUM, Coronado, nineteen oh eight.
dorothy_and_wizard_oz_01_f000032|Chapter 1 The Earthquake.|Chapter one The Earthquake.
dorothy_and_wizard_oz_01_f000033|The train from 'Frisco was very late. It should have arrived at Hugson's Siding at midnight,|The train from 'Frisco was very late. It should have arrived at Hugson's Siding at midnight,
dorothy_and_wizard_oz_01_f000034|but it was already five o'clock and the gray dawn was breaking in the east when the little train slowly rumbled up to the open shed that served for the station-house.|but it was already five o'clock and the gray dawn was breaking in the east when the little train slowly rumbled up to the open shed that served for the station-house.
dorothy_and_wizard_oz_01_f000035|As it came to a stop the conductor called out in a loud voice: Hugson's Siding!|As it came to a stop the conductor called out in a loud voice: Hugson's Siding!
dorothy_and_wizard_oz_01_f000036|At once a little girl rose from her seat and walked to the door of the car, carrying a wicker suit-case in one hand and a round bird-cage covered up with newspapers in the other,|At once a little girl rose from her seat and walked to the door of the car, carrying a wicker suit-case in one hand and a round bird-cage covered up with newspapers in the other,
dorothy_and_wizard_oz_01_f000037|while a parasol was tucked under her arm.|while a parasol was tucked under her arm.
dorothy_and_wizard_oz_01_f000038|The conductor helped her off the car and then the engineer started his train again, so that it puffed and groaned and moved slowly away up the track.|The conductor helped her off the car and then the engineer started his train again, so that it puffed and groaned and moved slowly away up the track.
dorothy_and_wizard_oz_01_f000039|The reason he was so late was because all through the night there were times when the solid earth shook and trembled under him,|The reason he was so late was because all through the night there were times when the solid earth shook and trembled under him,
dorothy_and_wizard_oz_01_f000040|and the engineer was afraid that at any moment the rails might spread apart and an accident happen to his passengers.|and the engineer was afraid that at any moment the rails might spread apart and an accident happen to his passengers.
dorothy_and_wizard_oz_01_f000041|So he moved the cars slowly and with caution.|So he moved the cars slowly and with caution.
dorothy_and_wizard_oz_01_f000042|The little girl stood still to watch until the train had disappeared around a curve; then she turned to see where she was.|The little girl stood still to watch until the train had disappeared around a curve; then she turned to see where she was.
dorothy_and_wizard_oz_01_f000043|The shed at Hugson's Siding was bare save for an old wooden bench, and did not look very inviting. As she peered through the soft gray light not a house of any sort was visible near the station,|The shed at Hugson's Siding was bare save for an old wooden bench, and did not look very inviting. As she peered through the soft gray light not a house of any sort was visible near the station,
dorothy_and_wizard_oz_01_f000044|nor was any person in sight;|nor was any person in sight;
dorothy_and_wizard_oz_01_f000045|but after a while the child discovered a horse and buggy standing near a group of trees a short distance away. She walked toward it and found the horse tied to a tree and standing motionless,|but after a while the child discovered a horse and buggy standing near a group of trees a short distance away. She walked toward it and found the horse tied to a tree and standing motionless,
dorothy_and_wizard_oz_01_f000046|with its head hanging down almost to the ground.|with its head hanging down almost to the ground.
dorothy_and_wizard_oz_01_f000047|It was a big horse, tall and bony, with long legs and large knees and feet. She could count his ribs easily where they showed through the skin of his body,|It was a big horse, tall and bony, with long legs and large knees and feet. She could count his ribs easily where they showed through the skin of his body,
dorothy_and_wizard_oz_01_f000048|and his head was long and seemed altogether too big for him, as if it did not fit.|and his head was long and seemed altogether too big for him, as if it did not fit.
dorothy_and_wizard_oz_01_f000049|His tail was short and scraggly, and his harness had been broken in many places and fastened together again with cords and bits of wire.|His tail was short and scraggly, and his harness had been broken in many places and fastened together again with cords and bits of wire.
dorothy_and_wizard_oz_01_f000050|The buggy seemed almost new, for it had a shiny top and side curtains. Getting around in front, so that she could look inside, the girl saw a boy curled up on the seat, fast asleep.|The buggy seemed almost new, for it had a shiny top and side curtains. Getting around in front, so that she could look inside, the girl saw a boy curled up on the seat, fast asleep.
dorothy_and_wizard_oz_01_f000051|She set down the bird-cage and poked the boy with her parasol.|She set down the bird-cage and poked the boy with her parasol.
dorothy_and_wizard_oz_01_f000052|Presently he woke up, rose to a sitting position and rubbed his eyes briskly.|Presently he woke up, rose to a sitting position and rubbed his eyes briskly.
dorothy_and_wizard_oz_01_f000053|Hello! he said, seeing her, are you Dorothy Gale?|Hello! he said, seeing her, are you Dorothy Gale?
dorothy_and_wizard_oz_01_f000054|Yes, she answered, looking gravely at his tousled hair and blinking gray eyes. Have you come to take me to Hugson's Ranch?|Yes, she answered, looking gravely at his tousled hair and blinking gray eyes. Have you come to take me to Hugson's Ranch?
dorothy_and_wizard_oz_01_f000055|Of course, he answered. Train in?|Of course, he answered. Train in?
dorothy_and_wizard_oz_01_f000056|I couldn't be here if it wasn't, she said.|I couldn't be here if it wasn't, she said.
dorothy_and_wizard_oz_01_f000057|He laughed at that, and his laugh was merry and frank. Jumping out of the buggy he put Dorothy's suit-case under the seat and her bird-cage on the floor in front.|He laughed at that, and his laugh was merry and frank. Jumping out of the buggy he put Dorothy's suit-case under the seat and her bird-cage on the floor in front.
dorothy_and_wizard_oz_01_f000058|Canary-birds? he asked.|Canary-birds? he asked.
dorothy_and_wizard_oz_01_f000059|Oh no; it's just Eureka, my kitten. I thought that was the best way to carry her.|Oh no; it's just Eureka, my kitten. I thought that was the best way to carry her.
dorothy_and_wizard_oz_01_f000060|The boy nodded.|The boy nodded.
dorothy_and_wizard_oz_01_f000061|Eureka's a funny name for a cat, he remarked.|Eureka's a funny name for a cat, he remarked.
