rinkitink_baum_01_64kb_f000001|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.
rinkitink_baum_01_64kb_f000002|RINKITINK IN OZ Wherein is recorded the Perilous Quest of Prince Inga of Pingaree and King Rinkitink in the Magical Isles that lie beyond the Borderland of Oz.|RINKITINK IN OZ Wherein is recorded the Perilous Quest of Prince Inga of Pingaree and King Rinkitink in the Magical Isles that lie beyond the Borderland of Oz.
rinkitink_baum_01_64kb_f000003|By L Frank Baum Royal Historian of Oz.|By L Frank Baum Royal Historian of Oz.
rinkitink_baum_01_64kb_f000004|Introducing this Story.|Introducing this Story.
rinkitink_baum_01_64kb_f000005|Here is a story with a boy hero, and a boy of whom you have never before heard. There are girls in the story, too, including our old friend Dorothy,|Here is a story with a boy hero, and a boy of whom you have never before heard. There are girls in the story, too, including our old friend Dorothy,
rinkitink_baum_01_64kb_f000006|and some of the characters wander a good way from the Land of Oz before they all assemble in the Emerald City to take part in Ozma's banquet.|and some of the characters wander a good way from the Land of Oz before they all assemble in the Emerald City to take part in Ozma's banquet.
rinkitink_baum_01_64kb_f000007|Indeed, I think you will find this story quite different from the other histories of Oz, but I hope you will not like it the less on that account.|Indeed, I think you will find this story quite different from the other histories of Oz, but I hope you will not like it the less on that account.
rinkitink_baum_01_64kb_f000008|If I am permitted to write another Oz book it will tell of some thrilling adventures encountered by Dorothy, Betsy Bobbin, Trot and the Patchwork Girl right in the Land of Oz,|If I am permitted to write another Oz book it will tell of some thrilling adventures encountered by Dorothy, Betsy Bobbin, Trot and the Patchwork Girl right in the Land of Oz,
rinkitink_baum_01_64kb_f000009|and how they discovered some amazing creatures that never could have existed outside a fairy land.|and how they discovered some amazing creatures that never could have existed outside a fairy land.
rinkitink_baum_01_64kb_f000010|I have an idea that about the time you are reading this story of Rinkitink I shall be writing that story of Adventures in Oz.|I have an idea that about the time you are reading this story of Rinkitink I shall be writing that story of Adventures in Oz.
rinkitink_baum_01_64kb_f000011|Don't fail to write me often and give me your advice and suggestions, which I always appreciate.|Don't fail to write me often and give me your advice and suggestions, which I always appreciate.
