skyisland_01_baum_64kb_f000003|BY L FRANK BAUM.|BY L FRANK BAUM.
skyisland_01_baum_64kb_f000004|A LITTLE TALK TO MY READERS.|A LITTLE TALK TO MY READERS.
skyisland_01_baum_64kb_f000005|With The Sea Fairies, my book for 1911, I ventured into a new field of fairy literature and to my delight the book was received with much approval by my former readers,|With The Sea Fairies, my book for nineteen eleven, I ventured into a new field of fairy literature and to my delight the book was received with much approval by my former readers,
skyisland_01_baum_64kb_f000006|many of whom have written me that they like Trot almost as well as Dorothy.|many of whom have written me that they like Trot almost as well as Dorothy.
skyisland_01_baum_64kb_f000007|As Dorothy was an old, old friend and Trot a new one, I think this is very high praise for captain Bill's little companion.|As Dorothy was an old, old friend and Trot a new one, I think this is very high praise for captain Bill's little companion.
skyisland_01_baum_64kb_f000008|captain Bill is also a new character who seems to have won approval, and so both Trot and the old sailor are again introduced in the present story,|captain Bill is also a new character who seems to have won approval, and so both Trot and the old sailor are again introduced in the present story,
skyisland_01_baum_64kb_f000009|which may be called the second of the series of adventures of Trot and captain Bill.|which may be called the second of the series of adventures of Trot and captain Bill.
skyisland_01_baum_64kb_f000010|But you will recognize some other acquaintances in Sky Island. Here, for instance, is Button-Bright, who once had an adventure with Dorothy in Oz,|But you will recognize some other acquaintances in Sky Island. Here, for instance, is Button-Bright, who once had an adventure with Dorothy in Oz,
skyisland_01_baum_64kb_f000011|and without Button-Bright and his Magic Umbrella you will see that the story of Sky Island could never have been written.|and without Button-Bright and his Magic Umbrella you will see that the story of Sky Island could never have been written.
skyisland_01_baum_64kb_f000012|As Polychrome, the Rainbow's Daughter, lives in the sky, it is natural that Trot and Button-Bright meet her during their adventures there.|As Polychrome, the Rainbow's Daughter, lives in the sky, it is natural that Trot and Button-Bright meet her during their adventures there.
skyisland_01_baum_64kb_f000013|This story of Sky Island has astonished me considerably, and I think it will also astonish you. The sky country is certainly a remarkable fair land,|This story of Sky Island has astonished me considerably, and I think it will also astonish you. The sky country is certainly a remarkable fair land,
skyisland_01_baum_64kb_f000014|but after reading about it I am sure you will agree with me that our old Mother Earth is a very good place to live upon and that Trot and Button-Bright and captain Bill were fortunate to get back to it again.|but after reading about it I am sure you will agree with me that our old Mother Earth is a very good place to live upon and that Trot and Button-Bright and captain Bill were fortunate to get back to it again.
skyisland_01_baum_64kb_f000015|By the way, one of my little correspondents has suggested that I print my address in this book, so that the children may know where letters will reach me.|By the way, one of my little correspondents has suggested that I print my address in this book, so that the children may know where letters will reach me.
skyisland_01_baum_64kb_f000016|I am doing this, as you see, and hope that many will write to me and tell me how they like Sky Island. My greatest treasures are these letters from my readers and I am always delighted to receive them.|I am doing this, as you see, and hope that many will write to me and tell me how they like Sky Island. My greatest treasures are these letters from my readers and I am always delighted to receive them.
skyisland_01_baum_64kb_f000017|L FRANK BAUM. OZCOT at HOLLYWOOD in CALIFORNIA.|L FRANK BAUM. OZCOT at HOLLYWOOD in CALIFORNIA.
skyisland_01_baum_64kb_f000018|Chapter 1 A MYSTERIOUS ARRIVAL.|Chapter one A MYSTERIOUS ARRIVAL.
skyisland_01_baum_64kb_f000019|Hello, said the boy.|Hello, said the boy.
skyisland_01_baum_64kb_f000020|Hello, answered Trot, looking up surprised. Where did you come from? Philadelphia, said he.|Hello, answered Trot, looking up surprised. Where did you come from? Philadelphia, said he.
skyisland_01_baum_64kb_f000021|Dear me, said Trot, you're a long way from home, then. Bout as far as I can get, in this country, the boy replied, gazing out over the water.|Dear me, said Trot, you're a long way from home, then. Bout as far as I can get, in this country, the boy replied, gazing out over the water.
skyisland_01_baum_64kb_f000022|Isn't this the Pacific Ocean? Of course. Why of course? he asked.|Isn't this the Pacific Ocean? Of course. Why of course? he asked.
