northandsouth_01_f000001|On its appearance in Household Words, this tale was obliged to conform to the conditions imposed by the requirements of a weekly publication,|On its appearance in Household Words, this tale was obliged to conform to the conditions imposed by the requirements of a weekly publication,
northandsouth_01_f000002|and likewise to confine itself within certain advertised limits, in order that faith might be kept with the public.|and likewise to confine itself within certain advertised limits, in order that faith might be kept with the public.
northandsouth_01_f000003|Although these conditions were made as light as they well could be, the author found it impossible to develope the story in the manner originally intended,|Although these conditions were made as light as they well could be, the author found it impossible to develope the story in the manner originally intended,
northandsouth_01_f000004|and, more especially, was compelled to hurry on events with an improbable rapidity towards the close.|and, more especially, was compelled to hurry on events with an improbable rapidity towards the close.
northandsouth_01_f000005|In some degree to remedy this obvious defect, various short passages have been inserted, and several new chapters added.|In some degree to remedy this obvious defect, various short passages have been inserted, and several new chapters added.
northandsouth_01_f000006|With this brief explanation, the tale is commended to the kindness of the reader;|With this brief explanation, the tale is commended to the kindness of the reader;
northandsouth_01_f000007|Beseking hym lowly, of mercy and pite,|Beseking hym lowly, of mercy and pite,
northandsouth_01_f000008|Of its rude makyng to have compassion.|Of its rude makyng to have compassion.
northandsouth_01_f000009|CHAPTER I—HASTE TO THE WEDDING|CHAPTER I-HASTE TO THE WEDDING
northandsouth_01_f000010|Wooed and married and a.|Wooed and married and a.
northandsouth_01_f000011|Edith! said Margaret, gently, Edith!|Edith! said Margaret, gently, Edith!
northandsouth_01_f000012|But, as Margaret half suspected, Edith had fallen asleep.|But, as Margaret half suspected, Edith had fallen asleep.
northandsouth_01_f000013|She lay curled up on the sofa in the back drawing-room in Harley Street, looking very lovely in her white muslin and blue ribbons.|She lay curled up on the sofa in the back drawing-room in Harley Street, looking very lovely in her white muslin and blue ribbons.
northandsouth_01_f000014|If Titania had ever been dressed in white muslin and blue ribbons, and had fallen asleep on a crimson damask sofa in a back drawing-room, Edith might have been taken for her.|If Titania had ever been dressed in white muslin and blue ribbons, and had fallen asleep on a crimson damask sofa in a back drawing-room, Edith might have been taken for her.
northandsouth_01_f000015|Margaret was struck afresh by her cousins beauty. They had grown up together from childhood, and all along Edith had been remarked upon by every one,|Margaret was struck afresh by her cousins beauty. They had grown up together from childhood, and all along Edith had been remarked upon by every one,
northandsouth_01_f000016|except Margaret, for her prettiness;|except Margaret, for her prettiness;
northandsouth_01_f000017|but Margaret had never thought about it until the last few days, when the prospect of soon losing her companion seemed to give force to every sweet quality and charm which Edith possessed.|but Margaret had never thought about it until the last few days, when the prospect of soon losing her companion seemed to give force to every sweet quality and charm which Edith possessed.
