hunters_space_01_f000001|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.
hunters_space_01_f000002|Chapter 1.|Chapter one.
hunters_space_01_f000003|In Kansas, spring usually falls on the day before summer. It had been such a day, and now at midnight I was sitting at my desk.|In Kansas, spring usually falls on the day before summer. It had been such a day, and now at midnight I was sitting at my desk.
hunters_space_01_f000004|Both hands of the clock were pointing to the ceiling and to the limitless stars beyond. My wife and daughter had long been asleep.|Both hands of the clock were pointing to the ceiling and to the limitless stars beyond. My wife and daughter had long been asleep.
hunters_space_01_f000005|I had stayed up to write a few letters but it was not a night for working.|I had stayed up to write a few letters but it was not a night for working.
hunters_space_01_f000006|Although it was a bit chilly outside, the moon was bright and a bird was singing a glad and plaintive song about the summer that was coming and all the summers that had passed and all that would be.|Although it was a bit chilly outside, the moon was bright and a bird was singing a glad and plaintive song about the summer that was coming and all the summers that had passed and all that would be.
hunters_space_01_f000007|Adding, here and there, a bit of melody about all the good things that happen to birds and men without their knowing why.|Adding, here and there, a bit of melody about all the good things that happen to birds and men without their knowing why.
hunters_space_01_f000008|Both hands of the clock were pointing upward. And I was half-asleep, and half-dreaming. Remembering all the friends I had most of them scattered to the four winds by now.|Both hands of the clock were pointing upward. And I was half-asleep, and half-dreaming. Remembering all the friends I had most of them scattered to the four winds by now.
hunters_space_01_f000009|And that best friend of all, Doctor Jack Odin! I wondered where he was and how he had fared since he disappeared into that dark cave in Texas.|And that best friend of all, Doctor Jack Odin! I wondered where he was and how he had fared since he disappeared into that dark cave in Texas.
hunters_space_01_f000010|Suddenly I became aware of a flickering light above me. I looked up. I had thought that the lights were winking, but they were not.|Suddenly I became aware of a flickering light above me. I looked up. I had thought that the lights were winking, but they were not.
hunters_space_01_f000011|The room was lit by a reading lamp, and the ceiling was so shadowy that at first I could see nothing at all. Then I saw the light or the ghost of a light gleaming faintly upon or through the ceiling.|The room was lit by a reading lamp, and the ceiling was so shadowy that at first I could see nothing at all. Then I saw the light or the ghost of a light gleaming faintly upon or through the ceiling.
hunters_space_01_f000012|It was the faintest yellow, neither a bull's eye nor a splotch. Instead, it seemed to be a tiny whirlpool of movement the faintest nebula in miniature with spirals of light swiftly circling a central core.|It was the faintest yellow, neither a bull's eye nor a splotch. Instead, it seemed to be a tiny whirlpool of movement the faintest nebula in miniature with spirals of light swiftly circling a central core.
hunters_space_01_f000013|For a second I thought I could see through the roof, and the stars swarmed before me. It was as though I was at the vortex of a high whirlwind of dancing, shining specks of light.|For a second I thought I could see through the roof, and the stars swarmed before me. It was as though I was at the vortex of a high whirlwind of dancing, shining specks of light.
hunters_space_01_f000014|Then that sensation was gone, and there were two faint coiling spirals of yellow light upon the ceiling.|Then that sensation was gone, and there were two faint coiling spirals of yellow light upon the ceiling.
hunters_space_01_f000015|The lights began to whisper.|The lights began to whisper.
hunters_space_01_f000016|We are Ato and Wolden, they said. Remember us?|We are Ato and Wolden, they said. Remember us?
hunters_space_01_f000017|I remembered them from the notes that I had pieced together to tell the story of my old friend, Doctor Jack Odin, and his adventure in the World of Opal.|I remembered them from the notes that I had pieced together to tell the story of my old friend, Doctor Jack Odin, and his adventure in the World of Opal.
hunters_space_01_f000018|It seemed impolite to tell them that we had never met. So I listened.|It seemed impolite to tell them that we had never met. So I listened.
hunters_space_01_f000019|Wolden's work has succeeded, the whispering continued. We have reduced time and space to nothing. You see us as lights, or as we once put it, 'as flame-winged butterflies,' but we are neither.|Wolden's work has succeeded, the whispering continued. We have reduced time and space to nothing. You see us as lights, or as we once put it, 'as flame-winged butterflies,' but we are neither.
