piratesofersatz_01_leinster_64kb_f000001|The pirates of ersatz by Murray Leinster. Chapter 1.|The pirates of ersatz by Murray Leinster. Chapter one.
piratesofersatz_01_leinster_64kb_f000002|It was not mere impulsive action when Bron Hoddan started for the planet Walden by stowing away on a ship that had come to his native planet to hang all his relatives.|It was not mere impulsive action when Bron Hoddan started for the planet Walden by stowing away on a ship that had come to his native planet to hang all his relatives.
piratesofersatz_01_leinster_64kb_f000003|He'd planned it long before. It was a long-cherished and carefully worked out scheme. He didn't expect the hanging of his relatives, of course.|He'd planned it long before. It was a long-cherished and carefully worked out scheme. He didn't expect the hanging of his relatives, of course.
piratesofersatz_01_leinster_64kb_f000004|He knew that they'd act grieved and innocent, and give proof that they were simple people leading blameless lives. They'd make their would-be executioners feel ashamed and apologetic for having thought evil of them,|He knew that they'd act grieved and innocent, and give proof that they were simple people leading blameless lives. They'd make their would-be executioners feel ashamed and apologetic for having thought evil of them,
piratesofersatz_01_leinster_64kb_f000005|and as soon as the strangers left they'd return to their normal way of life, which was piracy. But while this was going on, Bron Hoddan stowed away on the menacing vessel.|and as soon as the strangers left they'd return to their normal way of life, which was piracy. But while this was going on, Bron Hoddan stowed away on the menacing vessel.
piratesofersatz_01_leinster_64kb_f000006|Presently he arrived at its home world. But his ambition was to reach Walden, so he set about getting there. It took a long time because he had to earn ship-passage from one solar system to another, but he held to his idea.|Presently he arrived at its home world. But his ambition was to reach Walden, so he set about getting there. It took a long time because he had to earn ship-passage from one solar system to another, but he held to his idea.
piratesofersatz_01_leinster_64kb_f000007|Walden was the most civilized planet in that part of the galaxy. On Walden, Hoddan intended, in order (a) to achieve splendid things as an electronic engineer,|Walden was the most civilized planet in that part of the galaxy. On Walden, Hoddan intended, in order a to achieve splendid things as an electronic engineer,
piratesofersatz_01_leinster_64kb_f000008|(b) to grow satisfactorily rich, (c) to marry a delightful girl, and (d) end his life a great man.|b to grow satisfactorily rich, c to marry a delightful girl, and d end his life a great man.
piratesofersatz_01_leinster_64kb_f000009|But he had to spend two years trying to arrange even the first.|But he had to spend two years trying to arrange even the first.
piratesofersatz_01_leinster_64kb_f000010|On the night before the police broke in the door of his room, though, accomplishment seemed imminent. He went to bed and slept soundly.|On the night before the police broke in the door of his room, though, accomplishment seemed imminent. He went to bed and slept soundly.
piratesofersatz_01_leinster_64kb_f000011|He was calmly sure that his ambitions were about to be realized. At practically any instant his brilliance would be discovered and he'd be well-to-do,|He was calmly sure that his ambitions were about to be realized. At practically any instant his brilliance would be discovered and he'd be well-to-do,
piratesofersatz_01_leinster_64kb_f000012|his friend Derec would admire him, and even Nedda would probably decide to marry him right away.|his friend Derec would admire him, and even Nedda would probably decide to marry him right away.
piratesofersatz_01_leinster_64kb_f000013|She was the delightful girl. Such prospects made for good sleeping.|She was the delightful girl. Such prospects made for good sleeping.
piratesofersatz_01_leinster_64kb_f000014|And Walden was a fine world to be sleeping on. Outside the capital city its spaceport received shipments of luxuries and raw materials from halfway across the galaxy.|And Walden was a fine world to be sleeping on. Outside the capital city its spaceport received shipments of luxuries and raw materials from halfway across the galaxy.
piratesofersatz_01_leinster_64kb_f000015|Its landing grid reared skyward and tapped the planet's ionosphere for power with which to hoist ships to clear space and pluck down others from emptiness.|Its landing grid reared skyward and tapped the planet's ionosphere for power with which to hoist ships to clear space and pluck down others from emptiness.
piratesofersatz_01_leinster_64kb_f000016|There was commerce and manufacture and wealth and culture, and Walden modestly admitted that its standard of living was the highest in the Nurmi Cluster.|There was commerce and manufacture and wealth and culture, and Walden modestly admitted that its standard of living was the highest in the Nurmi Cluster.
piratesofersatz_01_leinster_64kb_f000017|Its citizens had no reason to worry about anything but a supply of tranquilizers to enable them to stand the boredom of their lives.|Its citizens had no reason to worry about anything but a supply of tranquilizers to enable them to stand the boredom of their lives.
piratesofersatz_01_leinster_64kb_f000018|Even Hoddan was satisfied, as of the moment. On his native planet there wasn't even a landing grid. The few, battered, cobbled ships the inhabitants owned had to take off precariously on rockets.|Even Hoddan was satisfied, as of the moment. On his native planet there wasn't even a landing grid. The few, battered, cobbled ships the inhabitants owned had to take off precariously on rockets.
piratesofersatz_01_leinster_64kb_f000019|They came back blackened and sometimes more battered still, and sometimes they were accompanied by great hulls whose crews and passengers were mysteriously missing.|They came back blackened and sometimes more battered still, and sometimes they were accompanied by great hulls whose crews and passengers were mysteriously missing.
piratesofersatz_01_leinster_64kb_f000020|These extra ships had to be landed on their emergency rockets, and, of course, couldn't take off again, but they always vanished quickly just the same.|These extra ships had to be landed on their emergency rockets, and, of course, couldn't take off again, but they always vanished quickly just the same.
piratesofersatz_01_leinster_64kb_f000021|And the people of Zan, on which Hoddan had been born, always affected innocent indignation when embattled other spacecraft came and furiously demanded that they be produced.|And the people of Zan, on which Hoddan had been born, always affected innocent indignation when embattled other spacecraft came and furiously demanded that they be produced.
piratesofersatz_01_leinster_64kb_f000022|There were some people who said that all the inhabitants of Zan were space pirates and ought to be hung and compared with such a planet, Walden seemed a very fine place indeed.|There were some people who said that all the inhabitants of Zan were space pirates and ought to be hung and compared with such a planet, Walden seemed a very fine place indeed.
piratesofersatz_01_leinster_64kb_f000023|So on a certain night Bron Hoddan went confidently to bed and slept soundly until three hours after sunrise. Then the police broke in his door.|So on a certain night Bron Hoddan went confidently to bed and slept soundly until three hours after sunrise. Then the police broke in his door.
piratesofersatz_01_leinster_64kb_f000024|They made a tremendous crash in doing it, but they were in great haste. The noise waked Hoddan, and he blinked his eyes open.|They made a tremendous crash in doing it, but they were in great haste. The noise waked Hoddan, and he blinked his eyes open.
piratesofersatz_01_leinster_64kb_f000025|Before he could stir, four uniformed men grabbed him and dragged him out of bed. They searched him frantically for anything like a weapon.|Before he could stir, four uniformed men grabbed him and dragged him out of bed. They searched him frantically for anything like a weapon.
piratesofersatz_01_leinster_64kb_f000026|Then they stood him against a wall with two stun-pistols on him, and the main body of cops began to tear his room apart, looking for something he could not guess.|Then they stood him against a wall with two stun-pistols on him, and the main body of cops began to tear his room apart, looking for something he could not guess.
piratesofersatz_01_leinster_64kb_f000027|Then his friend Derec came hesitantly in the door and looked at him remorsefully. He wrung his hands.|Then his friend Derec came hesitantly in the door and looked at him remorsefully. He wrung his hands.
piratesofersatz_01_leinster_64kb_f000028|I had to do it, Bron, he said agitatedly. I couldn't help doing it!|I had to do it, Bron, he said agitatedly. I couldn't help doing it!
piratesofersatz_01_leinster_64kb_f000029|Hoddan blinked at him. He was dazed. Things didn't become clearer when he saw that a cop had slit open his pillow and was sifting its contents through his fingers.|Hoddan blinked at him. He was dazed. Things didn't become clearer when he saw that a cop had slit open his pillow and was sifting its contents through his fingers.
piratesofersatz_01_leinster_64kb_f000030|Another cop was ripping the seams of his mattress to look inside. Somebody else was going carefully through a little pile of notes that Nedda had written,|Another cop was ripping the seams of his mattress to look inside. Somebody else was going carefully through a little pile of notes that Nedda had written,
piratesofersatz_01_leinster_64kb_f000031|squinting at them as if he were afraid of seeing something he'd wish he hadn't.|squinting at them as if he were afraid of seeing something he'd wish he hadn't.
piratesofersatz_01_leinster_64kb_f000032|What's happened? asked Hoddan blankly. What's this about?|What's happened? asked Hoddan blankly. What's this about?
piratesofersatz_01_leinster_64kb_f000033|Derec said miserably:|Derec said miserably:
piratesofersatz_01_leinster_64kb_f000034|You killed someone, Bron. An innocent man! You didn't mean to, but you did, and. it's terrible!|You killed someone, Bron. An innocent man! You didn't mean to, but you did, and. it's terrible!
piratesofersatz_01_leinster_64kb_f000035|Me kill somebody? That's ridiculous! protested Hoddan.|Me kill somebody? That's ridiculous! protested Hoddan.
piratesofersatz_01_leinster_64kb_f000036|They found him outside the powerhouse, said Derec bitterly. Outside the Mid-Continent station that youMid-Continent? Oh! Hoddan was relieved.|They found him outside the powerhouse, said Derec bitterly. Outside the Mid-Continent station that youMid-Continent? Oh! Hoddan was relieved.
piratesofersatz_01_leinster_64kb_f000037|It was amazing how much he was relieved. He'd had an unbelieving fear for a moment that somebody might have found out he'd been born and raised on Zan — which would have ruined everything.|It was amazing how much he was relieved. He'd had an unbelieving fear for a moment that somebody might have found out he'd been born and raised on Zan - which would have ruined everything.
piratesofersatz_01_leinster_64kb_f000038|It was almost impossible to imagine, but still it was a great relief to find out he was only suspected of a murder he hadn't committed.|It was almost impossible to imagine, but still it was a great relief to find out he was only suspected of a murder he hadn't committed.
piratesofersatz_01_leinster_64kb_f000039|And he was only suspected because his first great achievement as an electronic engineer had been discovered. They found the thing at Mid-Continent, eh? But I didn't kill anybody.|And he was only suspected because his first great achievement as an electronic engineer had been discovered. They found the thing at Mid-Continent, eh? But I didn't kill anybody.
piratesofersatz_01_leinster_64kb_f000040|And there's no harm done. The thing's been running two weeks, now. I was going to the Power Board in a couple of days. He addressed the police.|And there's no harm done. The thing's been running two weeks, now. I was going to the Power Board in a couple of days. He addressed the police.
piratesofersatz_01_leinster_64kb_f000041|I know what's up, now, he said. Give me some clothes and let's go get this straightened out.|I know what's up, now, he said. Give me some clothes and let's go get this straightened out.
piratesofersatz_01_leinster_64kb_f000042|A cop waved a stun-pistol at him.|A cop waved a stun-pistol at him.
piratesofersatz_01_leinster_64kb_f000043|One word out of line, and — pfft!|One word out of line, and - pfft!
piratesofersatz_01_leinster_64kb_f000044|Don't talk, Bron! said Derec in panic. Just keep quiet! It's bad enough! Don't make it worse!|Don't talk, Bron! said Derec in panic. Just keep quiet! It's bad enough! Don't make it worse!
piratesofersatz_01_leinster_64kb_f000045|A cop handed Hoddan a garment. He put it on. He became aware that the cop was scared. So was Derec. Everybody in the room was scared except himself.|A cop handed Hoddan a garment. He put it on. He became aware that the cop was scared. So was Derec. Everybody in the room was scared except himself.
piratesofersatz_01_leinster_64kb_f000046|Hoddan found himself incredulous. People didn't act this way on super-civilized, highest-peak-of-culture Walden.|Hoddan found himself incredulous. People didn't act this way on super-civilized, highest-peak-of-culture Walden.
piratesofersatz_01_leinster_64kb_f000047|Who'd I kill? he demanded. And why?|Who'd I kill? he demanded. And why?
piratesofersatz_01_leinster_64kb_f000048|You wouldn't know him, Bron, said Derec mournfully. You didn't mean to do murder. But it's only luck that you killed only him instead of everybody!|You wouldn't know him, Bron, said Derec mournfully. You didn't mean to do murder. But it's only luck that you killed only him instead of everybody!
