path|original_file|language|is_original_language|duration|training_data|model_name|architecture|transcript
./fake/en/f5-tts/jane_eyre_26_f000074.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_26_f000074.wav|en|True|3.285|unknown|f5-tts|f5-tts|His whole face was colourless rock: his eye was both spark and flint.
./fake/en/f5-tts/silent_bullet_08_f000286.wav|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_08_f000286.wav|en|True|9.195|unknown|f5-tts|f5-tts|Woorali. What was it? There were many travellers in the room who had been in the Orient, home of poisons, and in South America. Which one had run across the poison?
./fake/en/f5-tts/jane_eyre_14_f000136.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_14_f000136.wav|en|True|4.480|unknown|f5-tts|f5-tts|therefore, keep to yourself, and don't venture on generalities of which you are intensely ignorant.
./fake/en/f5-tts/silent_bullet_03_f000099.wav|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_03_f000099.wav|en|True|3.307|unknown|f5-tts|f5-tts|inclined to deafness and asleep, would scarcely have been awakened by it.
./fake/en/f5-tts/the_sea_fairies_20_f000152.wav|en_US/by_book/female/judy_bieber/the_sea_fairies/wavs/the_sea_fairies_20_f000152.wav|en|True|6.187|unknown|f5-tts|f5-tts|In many ways it's a nicer place for a home than the earth, for we have no sunstroke, mosquitoes, earthquakes or candy ships to bother us.
./fake/en/f5-tts/northandsouth_08_f000077.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_08_f000077.wav|en|True|5.056|unknown|f5-tts|f5-tts|how much more so if he went to Oxford or Cambridge, where he could not be entered till he was eighteen?
./fake/en/f5-tts/poisoned_pen_03_f000316.wav|en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_03_f000316.wav|en|True|3.328|unknown|f5-tts|f5-tts|So we get one next, and again one, and still again one; then five; then five;
./fake/en/f5-tts/hunters_space_14_f000086.wav|en_US/by_book/male/elliot_miller/hunters_space/wavs/hunters_space_14_f000086.wav|en|True|6.549|unknown|f5-tts|f5-tts|Val was over sixty, Odin judged, and though his wrists were skinny the tendons and muscles on his arms stood out like taut lengths of cable.
./fake/en/f5-tts/wives_and_daughters_49_f000050.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_49_f000050.wav|en|True|6.005|unknown|f5-tts|f5-tts|I don't think it does sound quite a nice story. I wonder what Clare could be doing to allow such goings on, said Lady Cuxhaven.
./fake/en/f5-tts/wives_and_daughters_24_f000103.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_24_f000103.wav|en|True|3.925|unknown|f5-tts|f5-tts|while he feasted his eyes as much as he dared by looking at Cynthia.
./fake/en/f5-tts/dorothy_and_wizard_oz_12_f000108.wav|en_US/by_book/female/judy_bieber/dorothy_and_wizard_oz/wavs/dorothy_and_wizard_oz_12_f000108.wav|en|True|2.987|unknown|f5-tts|f5-tts|with eight of the much prized wooden wings beside them.
./fake/en/f5-tts/silent_bullet_07_f000182.wav|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_07_f000182.wav|en|True|0.747|unknown|f5-tts|f5-tts|Andrews nodded.
./fake/en/f5-tts/pink_fairy_book_08_f000074.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_08_f000074.wav|en|True|5.205|unknown|f5-tts|f5-tts|When this set in the Snow-man set off. He did not say anything, and he did not complain, and those are bad signs.
./fake/en/f5-tts/northandsouth_01_f000141.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_01_f000141.wav|en|True|3.392|unknown|f5-tts|f5-tts|Oh, of course, he replied with a change to gravity in his tone.
./fake/en/f5-tts/wives_and_daughters_60_f000012.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_60_f000012.wav|en|True|3.477|unknown|f5-tts|f5-tts|So far so good. They were friends again after their unspoken difference;
./fake/en/f5-tts/rinkitink_baum_21_64kb_f000058.wav|en_US/by_book/female/judy_bieber/rinkitink_in_oz/wavs/rinkitink_baum_21_64kb_f000058.wav|en|True|4.160|unknown|f5-tts|f5-tts|in the animal you call Bilbil, I have discovered the unhappy Prince of Boboland.
./fake/en/f5-tts/silent_bullet_13_f000031.wav|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_13_f000031.wav|en|True|6.549|unknown|f5-tts|f5-tts|Perhaps you have also heard of the losses of my son Percival at the Vesper Club. They are fast becoming the common talk of our set.
./fake/en/f5-tts/midnight_passenger_06_f000128.wav|en_US/by_book/female/mary_ann/midnight_passenger/wavs/midnight_passenger_06_f000128.wav|en|True|3.200|unknown|f5-tts|f5-tts|We have not even gone to the Bavaria'; I have shown her my office.
./fake/en/f5-tts/jane_eyre_18_f000262.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_18_f000262.wav|en|True|1.227|unknown|f5-tts|f5-tts|Sam went and returned.
./fake/en/f5-tts/pink_fairy_book_16_f000050.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_16_f000050.wav|en|True|10.027|unknown|f5-tts|f5-tts|The same thing happened with those who kept watch in the room beside the bird Grip, and when he threw the third grain into its cage the bird also fell asleep.
./fake/en/f5-tts/jane_eyre_36_f000078.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_36_f000078.wav|en|True|5.675|unknown|f5-tts|f5-tts|I advanced my head with precaution, desirous to ascertain if any bedroom window-blinds were yet drawn up:
./fake/en/f5-tts/northandsouth_40_f000225.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_40_f000225.wav|en|True|7.467|unknown|f5-tts|f5-tts|and then the whole thing is so painful to me; every word and action connected with it is so unspeakably bitter, that I cannot bear to think of it.
./fake/en/f5-tts/midnight_passenger_12_f000080.wav|en_US/by_book/female/mary_ann/midnight_passenger/wavs/midnight_passenger_12_f000080.wav|en|True|5.675|unknown|f5-tts|f5-tts|The Bowery's delights were telling upon the frightened lad, who had sealed his glib tongue now behind lying lips.
./fake/en/f5-tts/wives_and_daughters_14_f000176.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_14_f000176.wav|en|True|4.395|unknown|f5-tts|f5-tts|Oh, yes, we quite understand, Mister Roger; and we fully recognize Missis Hamley's kind intention.
./fake/en/f5-tts/northandsouth_35_f000281.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_35_f000281.wav|en|True|4.885|unknown|f5-tts|f5-tts|Poor fellow! it was his way of showing sympathy. He has a good warm heart under his bluff abrupt ways.
./fake/en/f5-tts/wives_and_daughters_46_f000162.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_46_f000162.wav|en|True|6.848|unknown|f5-tts|f5-tts|No: I said she looked as if she was going to meet some one, - and by-and-by comes Mister Preston running out of the wood just beyond Hannah's,
./fake/en/f5-tts/the_master_key_10_f000174.wav|en_US/by_book/female/judy_bieber/the_master_key/wavs/the_master_key_10_f000174.wav|en|True|5.760|unknown|f5-tts|f5-tts|The people in the outer room stared at him wonderingly and the officer of the guard saluted the boy respectfully.
./fake/en/f5-tts/jane_eyre_17_f000290.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_17_f000290.wav|en|True|10.624|unknown|f5-tts|f5-tts|I compared him with his guests. What was the gallant grace of the Lynns, the languid elegance of Lord Ingram, - even the military distinction of Colonel Dent,
./fake/en/f5-tts/jane_eyre_25_f000162.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_25_f000162.wav|en|True|13.483|unknown|f5-tts|f5-tts|I heard them clear and soft: a thought too solemn perhaps, but sweet as music - I think it is a glorious thing to have the hope of living with you, Edward, because I love you.
./fake/en/f5-tts/wives_and_daughters_21_f000172.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_21_f000172.wav|en|True|5.504|unknown|f5-tts|f5-tts|I heard you telling Cynthia Yes. What a charming person she is! I should think you must be happier than we expected long ago.
./fake/en/f5-tts/wives_and_daughters_15_f000076.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_15_f000076.wav|en|True|4.843|unknown|f5-tts|f5-tts|Then he said, You won't be sorry for it, Molly, when you come to lie as poor Craven Smith did to-night.
./fake/en/f5-tts/ozma_of_oz_06_f000136.wav|en_US/by_book/female/judy_bieber/ozma_of_oz/wavs/ozma_of_oz_06_f000136.wav|en|True|9.301|unknown|f5-tts|f5-tts|only it isn't considered quite polite to mention the matter. Oh! said Langwidere, slightly lifting the nose of No. seventeen. I thought some one of importance had called.
./fake/en/f5-tts/jane_eyre_26_f000108.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_26_f000108.wav|en|True|8.512|unknown|f5-tts|f5-tts|I saw a grim smile contort Mister Rochester's lips, and he muttered - No, by God! I took care that none should hear of it - or of her under that name.
./fake/en/f5-tts/northandsouth_51_f000056.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_51_f000056.wav|en|True|2.688|unknown|f5-tts|f5-tts|with a sense of inherent dignity and manly strength.
./fake/en/f5-tts/poisoned_pen_09_f000339.wav|en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_09_f000339.wav|en|True|7.744|unknown|f5-tts|f5-tts|Those who were in Washington during that summer will remember the suppressed activity in the State, War, and Navy Departments on a certain very humid night.
./fake/en/f5-tts/northandsouth_30_f000168.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_30_f000168.wav|en|True|11.669|unknown|f5-tts|f5-tts|Each glimpse into the room where he sate by his father, conversing with him, about, she knew not what, nor cared to know,-was increase of strength to her.
./fake/en/f5-tts/northandsouth_01_f000069.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_01_f000069.wav|en|True|4.075|unknown|f5-tts|f5-tts|Edith! Edith! cried she; and then she sank as if wearied by the exertion. Margaret stepped forward.
./fake/en/f5-tts/wives_and_daughters_15_f000052.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_15_f000052.wav|en|True|10.069|unknown|f5-tts|f5-tts|Well, don't let us talk any more of such gloomy things, to-night! I think I shall go to bed at once, I am so tired, if you will only sit by me till I get sleepy, darling.
./fake/en/f5-tts/northandsouth_22_f000182.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_22_f000182.wav|en|True|4.725|unknown|f5-tts|f5-tts|There, they declared, they would not stop; they claimed to be sent back. And so he had to think, and talk, and reason.
./fake/en/f5-tts/emerald_city_of_oz_05_f000082.wav|en_US/by_book/female/judy_bieber/emerald_city_of_oz/wavs/emerald_city_of_oz_05_f000082.wav|en|True|9.237|unknown|f5-tts|f5-tts|Then she turned to her courtiers, who were silently and gravely regarding the scene, and added: I present to my people our Princess Dorothy's beloved Uncle Henry and Aunt Em,
./fake/en/f5-tts/jane_eyre_12_f000086.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_12_f000086.wav|en|True|5.056|unknown|f5-tts|f5-tts|The din was on the causeway: a horse was coming; the windings of the lane yet hid it, but it approached.
./fake/en/f5-tts/wives_and_daughters_07_f000123.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_07_f000123.wav|en|True|6.325|unknown|f5-tts|f5-tts|Little did Molly apply these expressions to the piece of news Missis Hamley told her in the course of the day;
./fake/en/f5-tts/ozma_of_oz_07_f000032.wav|en_US/by_book/female/judy_bieber/ozma_of_oz/wavs/ozma_of_oz_07_f000032.wav|en|True|6.229|unknown|f5-tts|f5-tts|but all the twenty-seven were dressed in handsome uniforms of various designs and colors, no two being alike in any respect.
./fake/en/f5-tts/silent_bullet_09_f000072.wav|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_09_f000072.wav|en|True|9.408|unknown|f5-tts|f5-tts|Dinner over, the family group separated, leaving Tom an opportunity to take us into the gruesome living-room. Of course the remains had been removed,
./fake/en/f5-tts/midnight_passenger_15_f000055.wav|en_US/by_book/female/mary_ann/midnight_passenger/wavs/midnight_passenger_15_f000055.wav|en|True|5.333|unknown|f5-tts|f5-tts|He easily learned that from the boy's braggadocio talk, and then used the whole circle as a means to entrap Clayton.
./fake/en/f5-tts/dorothy_and_wizard_oz_15_f000081.wav|en_US/by_book/female/judy_bieber/dorothy_and_wizard_oz/wavs/dorothy_and_wizard_oz_15_f000081.wav|en|True|3.499|unknown|f5-tts|f5-tts|Your people built it, he answered. I only bossed the job, as we say in Omaha.
./fake/en/f5-tts/jane_eyre_12_f000164.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_12_f000164.wav|en|True|3.371|unknown|f5-tts|f5-tts|The traveller waited and watched for some time, and at last he laughed.
./fake/en/f5-tts/piratesofersatz_10_leinster_64kb_f000140.wav|en_US/by_book/male/elliot_miller/pirates_of_ersatz/wavs/piratesofersatz_10_leinster_64kb_f000140.wav|en|True|5.867|unknown|f5-tts|f5-tts|He got into it, leaving the yacht in orbit. He headed down toward Darth. Now that he'd rested, he had work to do which could not be neglected.
./fake/en/f5-tts/wives_and_daughters_06_f000164.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_06_f000164.wav|en|True|8.576|unknown|f5-tts|f5-tts|Hush, said Missis Hamley, seeing in Molly's eyes and change of colour how completely this was a new idea to her. But the squire was not so easily stopped.
./fake/en/f5-tts/ozma_of_oz_14_f000028.wav|en_US/by_book/female/judy_bieber/ozma_of_oz/wavs/ozma_of_oz_14_f000028.wav|en|True|6.699|unknown|f5-tts|f5-tts|In the morning Dorothy and the Lion and Tiger were given their breakfast in their rooms, and afterward joined the King in his throne room.
./fake/en/f5-tts/emerald_city_of_oz_17_f000061.wav|en_US/by_book/female/judy_bieber/emerald_city_of_oz/wavs/emerald_city_of_oz_17_f000061.wav|en|True|2.123|unknown|f5-tts|f5-tts|Will you make them behave? asked the Muffin.
./fake/en/f5-tts/wives_and_daughters_54_f000161.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_54_f000161.wav|en|True|4.821|unknown|f5-tts|f5-tts|She shall get me some wool too; how good I am to confer so much pleasure on a fellow-creature!
./fake/en/f5-tts/northandsouth_02_f000081.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_02_f000081.wav|en|True|4.352|unknown|f5-tts|f5-tts|and her fathers position there, when Margaret had been spending her holidays at home before;
./fake/en/f5-tts/jane_eyre_26_f000014.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_26_f000014.wav|en|True|1.621|unknown|f5-tts|f5-tts|Is John getting the carriage ready?
./fake/en/f5-tts/dorothy_and_wizard_oz_15_f000099.wav|en_US/by_book/female/judy_bieber/dorothy_and_wizard_oz/wavs/dorothy_and_wizard_oz_15_f000099.wav|en|True|5.941|unknown|f5-tts|f5-tts|But Ozma soon conquered her, with the help of Glinda the Good, and after that I went to live with Nick Chopper, the Tin Woodman.
./fake/en/f5-tts/jane_eyre_06_f000052.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_06_f000052.wav|en|True|3.829|unknown|f5-tts|f5-tts|when I passed the windows, I now and then lifted a blind, and looked out;
./fake/en/f5-tts/wives_and_daughters_53_f000002.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_53_f000002.wav|en|True|4.309|unknown|f5-tts|f5-tts|Wives and Daughters by Elisabeth Gaskell. Chapter fifty-three UNLOOKED-FOR ARRIVALS.
./fake/en/f5-tts/emerald_city_of_oz_09_f000029.wav|en_US/by_book/female/judy_bieber/emerald_city_of_oz/wavs/emerald_city_of_oz_09_f000029.wav|en|True|11.627|unknown|f5-tts|f5-tts|There was an open wagon, with three seats for the passengers, and the wagon was drawn by the famous wooden Sawhorse which had once been brought to life by Ozma by means of a magic powder.
./fake/en/f5-tts/wives_and_daughters_08_f000101.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_08_f000101.wav|en|True|4.821|unknown|f5-tts|f5-tts|How could he go on so cheerfully while his mother sat there, scarcely eating anything, and doing her best,
./fake/en/f5-tts/the_sea_fairies_19_f000006.wav|en_US/by_book/female/judy_bieber/the_sea_fairies/wavs/the_sea_fairies_19_f000006.wav|en|True|6.485|unknown|f5-tts|f5-tts|Instantly he blew upon a golden whistle, and at the summons a band of wolf-fish appeared and dashed after the prisoners.
./fake/en/f5-tts/the_master_key_14_f000099.wav|en_US/by_book/female/judy_bieber/the_master_key/wavs/the_master_key_14_f000099.wav|en|True|11.691|unknown|f5-tts|f5-tts|Women now came creeping from their hiding places and mingled with the ranks of the men, and Rob guessed, from their joyous chattering, that the Turks had regained the city and driven out or killed the Tatar warriors.
./fake/en/f5-tts/the_master_key_01_f000054.wav|en_US/by_book/female/judy_bieber/the_master_key/wavs/the_master_key_01_f000054.wav|en|True|13.781|unknown|f5-tts|f5-tts|Rob covered his face at the flash, but finding himself unhurt he took away his hands and with blinking eyes attempted to look at a wonderful radiance which seemed to fill the room, making it many times brighter than the brightest day.
./fake/en/f5-tts/northandsouth_29_f000069.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_29_f000069.wav|en|True|7.445|unknown|f5-tts|f5-tts|Do you think, said  Missis Hale, after a pause, that you could go and ask  Missis Thornton to come and see me? Only once,-I dont want to be troublesome.
./fake/en/f5-tts/northandsouth_31_f000137.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_31_f000137.wav|en|True|5.867|unknown|f5-tts|f5-tts|I am sure you would like-no, love is the right word, like is so poor-you would love her, father, if you knew her.
./fake/en/f5-tts/wives_and_daughters_30_f000039.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_30_f000039.wav|en|True|0.512|unknown|f5-tts|f5-tts|Yes, I know.
./fake/en/f5-tts/rinkitink_baum_06_64kb_f000040.wav|en_US/by_book/female/judy_bieber/rinkitink_in_oz/wavs/rinkitink_baum_06_64kb_f000040.wav|en|True|7.552|unknown|f5-tts|f5-tts|Inga was a little embarrassed how to reply to these arguments, which he knew King Rinkitink considered were wise; so, after a period of thought, he said:
./fake/en/f5-tts/rinkitink_baum_02_64kb_f000105.wav|en_US/by_book/female/judy_bieber/rinkitink_in_oz/wavs/rinkitink_baum_02_64kb_f000105.wav|en|True|5.419|unknown|f5-tts|f5-tts|Oo, hoo hoo, keek eek! Imagine the fuss there would be in Gilgad if my subjects knew where I am this very minute!
./fake/en/f5-tts/pink_fairy_book_26_f000087.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_26_f000087.wav|en|True|6.901|unknown|f5-tts|f5-tts|In this manner several days went by. And one evening, as the young man leaned from the balcony, he saw a bright light shining on the mountain.
./fake/en/f5-tts/the_master_key_14_f000125.wav|en_US/by_book/female/judy_bieber/the_master_key/wavs/the_master_key_14_f000125.wav|en|True|5.205|unknown|f5-tts|f5-tts|Perhaps he thought he had been dreaming, for he rubbed his eyes and looked again with mingled surprise and alarm.
./fake/en/f5-tts/silent_bullet_03_f000260.wav|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_03_f000260.wav|en|True|12.139|unknown|f5-tts|f5-tts|This much I know, Miss Bond. Last summer in Paris with the Greenes you must have chanced to hear, of Pillard, the Apache, one of the most noted cracksmen the world has ever produced.
./fake/en/f5-tts/jane_eyre_21_f000316.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_21_f000316.wav|en|True|5.611|unknown|f5-tts|f5-tts|and I wrought the shades blacker, that the lights might flash more brilliantly - a happy touch or two secured success.
./fake/en/f5-tts/pink_fairy_book_32_f000079.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_32_f000079.wav|en|True|0.427|unknown|f5-tts|f5-tts|Ye e s!
./fake/en/f5-tts/northandsouth_20_f000171.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_20_f000171.wav|en|True|2.891|unknown|f5-tts|f5-tts|which came steady and firm as the boom of a distant minute gun.
./fake/en/f5-tts/pink_fairy_book_07_f000055.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_07_f000055.wav|en|True|6.699|unknown|f5-tts|f5-tts|The maid took the matches and lit the fire with them. How they spluttered and flamed, to be sure! Now everyone can see, they thought, that we are the grandest!
./fake/en/f5-tts/wives_and_daughters_08_f000051.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_08_f000051.wav|en|True|5.888|unknown|f5-tts|f5-tts|But the Squire has never been at college, and does not understand college terms, and he has been asking Roger all about it,
./fake/en/f5-tts/the_sea_fairies_12_f000045.wav|en_US/by_book/female/judy_bieber/the_sea_fairies/wavs/the_sea_fairies_12_f000045.wav|en|True|7.019|unknown|f5-tts|f5-tts|As they approached to look around them, a brilliantly colored gregfish approached and gazed at them curiously with his big, saucer-like eyes.
./fake/en/f5-tts/poisoned_pen_12_f000017.wav|en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_12_f000017.wav|en|True|6.507|unknown|f5-tts|f5-tts|A map of the city in colours, divided into all sorts of districts, told how fared the battle in the stronghold of the boss, Billy McLoughlin.
./fake/en/f5-tts/northandsouth_04_f000107.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_04_f000107.wav|en|True|2.923|unknown|f5-tts|f5-tts|They are but what I have tried upon myself, without avail.
./fake/en/f5-tts/pink_fairy_book_41_f000012.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_41_f000012.wav|en|True|4.181|unknown|f5-tts|f5-tts|Now Don Giovanni was a man who never troubled his head about the future.
./fake/en/f5-tts/hunters_space_09_f000014.wav|en_US/by_book/male/elliot_miller/hunters_space/wavs/hunters_space_09_f000014.wav|en|True|9.387|unknown|f5-tts|f5-tts|And as Jack watched, horrified and sick, the shards of flame came back together. And there was the globe again with Grim Hagen and Maya as whole as ever.
./fake/en/f5-tts/the_master_key_03_f000009.wav|en_US/by_book/female/judy_bieber/the_master_key/wavs/the_master_key_03_f000009.wav|en|True|2.901|unknown|f5-tts|f5-tts|So I don't know how to command you, nor what to ask you to do.
./fake/en/f5-tts/pink_fairy_book_40_f000204.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_40_f000204.wav|en|True|6.571|unknown|f5-tts|f5-tts|What is your will? it asked; and Ciccu replied that he had been commanded to bring back the ring that the princess had flung away, as she rode past.
./fake/en/f5-tts/the_sea_fairies_06_f000002.wav|en_US/by_book/female/judy_bieber/the_sea_fairies/wavs/the_sea_fairies_06_f000002.wav|en|True|7.552|unknown|f5-tts|f5-tts|The queen now requested her guests to recline upon couches that they might rest themselves from their long swim and talk more at their ease.
./fake/en/f5-tts/piratesofersatz_07_leinster_64kb_f000110.wav|en_US/by_book/male/elliot_miller/pirates_of_ersatz/wavs/piratesofersatz_07_leinster_64kb_f000110.wav|en|True|4.416|unknown|f5-tts|f5-tts|Hoddan's anger took on the feeling of guilt. He could do nothing, and something had to be done.
./fake/en/f5-tts/poisoned_pen_12_f000050.wav|en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_12_f000050.wav|en|True|10.688|unknown|f5-tts|f5-tts|What I do care about is the sworn allegation that now accompanies these - these fakes. They were not, could not have been taken after the independent convention that nominated me.
./fake/en/f5-tts/wives_and_daughters_11_f000042.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_11_f000042.wav|en|True|2.667|unknown|f5-tts|f5-tts|I can't take virtue to myself which doesn't belong to me.
./fake/en/f5-tts/jane_eyre_10_f000178.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_10_f000178.wav|en|True|3.029|unknown|f5-tts|f5-tts|but his relations were against the match; and - what do you think?
./fake/en/f5-tts/piratesofersatz_01_leinster_64kb_f000217.wav|en_US/by_book/male/elliot_miller/pirates_of_ersatz/wavs/piratesofersatz_01_leinster_64kb_f000217.wav|en|True|5.771|unknown|f5-tts|f5-tts|He was well aloft before the cops spotted him. Then they fired at him industriously and the charges crackled all around him.
./fake/en/f5-tts/wives_and_daughters_08_f000215.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_08_f000215.wav|en|True|5.621|unknown|f5-tts|f5-tts|I don't see that she can do better than ask Missis Kirkpatrick to come to the Towers - as soon as her holidays begin, I mean.
./fake/en/f5-tts/poisoned_pen_04_f000098.wav|en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_04_f000098.wav|en|True|9.045|unknown|f5-tts|f5-tts|by age, and to a certain extent by practice and professional requirements, as in the conventional writing of teachers and the rapid hand of bookkeepers.
./fake/en/f5-tts/silent_bullet_12_f000224.wav|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_12_f000224.wav|en|True|10.325|unknown|f5-tts|f5-tts|The questioning look on her face recalled the object of our search, and its ill success so far. Why had Kennedy come back with so little to report?
./fake/en/f5-tts/the_master_key_17_f000024.wav|en_US/by_book/female/judy_bieber/the_master_key/wavs/the_master_key_17_f000024.wav|en|True|1.941|unknown|f5-tts|f5-tts|Do you live at Port Orford? inquired the sailor.
./fake/en/f5-tts/poisoned_pen_02_f000066.wav|en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_02_f000066.wav|en|True|8.128|unknown|f5-tts|f5-tts|Returning to the safe, he continued: Well, anyhow, he made a furrow perhaps an inch and a half long and a quarter of an inch wide and, I should say,
./fake/en/f5-tts/pink_fairy_book_05_f000052.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_05_f000052.wav|en|True|9.152|unknown|f5-tts|f5-tts|Yet suddenly he felt a pang at his heart as he wandered down the street. After all, everything was changed. Neither men nor houses were those he once knew.
./fake/en/f5-tts/hunters_space_14_f000118.wav|en_US/by_book/male/elliot_miller/hunters_space/wavs/hunters_space_14_f000118.wav|en|True|8.704|unknown|f5-tts|f5-tts|To kill, and kill, and kill You are right, Ato admitted. Delay will only increase Grim Hagen's advantage. To the city as fast as we can End of chapter fourteen.
./fake/en/f5-tts/wives_and_daughters_05_f000072.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_05_f000072.wav|en|True|2.645|unknown|f5-tts|f5-tts|and a brisk conversation on general subjects.
./fake/en/f5-tts/pink_fairy_book_38_f000024.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_38_f000024.wav|en|True|33.749|unknown|f5-tts|f5-tts|And they led their grandmother outside, and all of them began hungrily to eat pebbles. Our friend pretended to do the same, but in reality he slipped the stones into his pouch,
./fake/en/f5-tts/northandsouth_01_f000085.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_01_f000085.wav|en|True|3.285|unknown|f5-tts|f5-tts|as she hid her face under the bed-clothes, in that first night;
